City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
126,Ranong,TH,79.84,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
135,Kabwe,ZM,79.79,clear sky,-14.4469,28.4464,Tuskers
136,Iracoubo,GF,78.73,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
139,Puerto Del Rosario,ES,80.28,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
141,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
142,Faanui,PF,77.85,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,La Romana,DO,86.36,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
144,Soyo,AO,76.32,overcast clouds,-6.1349,12.3689,Hotel Mpampa
145,Alibunar,RS,89.06,clear sky,45.0808,20.9658,Restoran Grand sa Prenoćištem
146,Perevolotskiy,RU,83.66,clear sky,51.8763,54.1938,GRAND OASIS
148,Aguimes,ES,75.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
149,Hami,CN,87.24,clear sky,42.8,93.45,Laoyutang Resort
157,Meulaboh,ID,80.22,overcast clouds,4.1363,96.1285,Kost Pria
158,Katsuura,JP,82.51,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
159,Mouzouras,GR,89.6,clear sky,35.5333,24.15,Areti Suites
163,Bay Village,US,82.04,scattered clouds,41.4848,-81.9221,Red Roof Inn Cleveland - Westlake
164,Sri Aman,MY,80.65,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
167,Anse-Bertrand,GP,85.82,clear sky,16.4721,-61.5078,Le Domharry
169,Cayenne,GF,87.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
170,Boffa,GN,82.78,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
173,Nouakchott,MR,85.93,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
174,Gigmoto,PH,82.76,overcast clouds,13.7796,124.39,Cj's Travellers Inn
176,San Vicente,AR,75.43,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
177,Oneida,US,82.02,clear sky,43.2001,-75.4663,Wingate By Wyndham Rome
179,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
184,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
185,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
192,Casablanca,MA,84.42,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
194,Victoria,HK,84.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
196,Ugoofaaru,MV,83.32,overcast clouds,5.6667,73.0,Ungoofaaru Inn
199,Venice,US,88.02,thunderstorm,27.0998,-82.4543,A Beach Retreat On Casey Key
201,Carutapera,BR,86.27,clear sky,-1.195,-46.02,Lidera
211,Mayo,US,80.47,clear sky,38.8876,-76.5119,Resorts Resource Group International
212,Nong Phai,TH,80.91,overcast clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
213,Broome,US,79.56,clear sky,42.2506,-75.833,Chenango Valley State Park
215,Kavaratti,IN,82.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
216,Chenghai,CN,85.91,few clouds,23.4632,116.768,Guangdong Hotel
218,Hithadhoo,MV,82.45,moderate rain,-0.6,73.0833,Scoop Guest House
221,Jeremie,HT,84.7,few clouds,18.65,-74.1167,Auberge’Inn
224,Ambilobe,MG,77.99,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
225,Shimoda,JP,79.45,light rain,34.6667,138.95,Shimoda Tokyu Hotel
228,Nabire,ID,76.41,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
229,Gourcy,BF,91.24,overcast clouds,13.2167,-2.35,Auberge Gourcy
230,Fukue,JP,82.71,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
232,Rensvik,NO,75.47,clear sky,63.1,7.8167,Thon Hotels Storgata
233,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
234,Wanning,CN,84.07,overcast clouds,18.8003,110.3967,Paradise Hotel
235,Cuamba,MZ,82.24,scattered clouds,-14.8031,36.5372,Hotel Vision
239,Vero Beach,US,89.06,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
240,Palu,ID,77.38,heavy intensity rain,-0.8917,119.8707,Hotel Santika Palu
243,Jishou,CN,80.98,overcast clouds,28.3167,109.7167,7 Days Inn
248,Buchanan,LR,85.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
249,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
252,Lasa,IT,75.11,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
259,Safaga,EG,92.17,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
264,Hopkinsville,US,78.84,clear sky,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
265,Iralaya,HN,86.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
266,Vidor,US,86.02,clear sky,30.1316,-94.0155,"Holiday Inn Express & Suites Vidor South, an IHG Hotel"
270,Lingao,CN,85.55,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
275,Morondava,MG,76.55,clear sky,-20.2833,44.2833,La Case Bambou
279,Kaspi,GE,92.32,light rain,41.9252,44.4257,Nikola
280,Itarema,BR,89.73,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
281,Benghazi,LY,85.46,clear sky,32.1167,20.0667,Tibesti Hotel
284,Kieta,PG,78.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
289,Ponta Do Sol,PT,79.12,broken clouds,32.6667,-17.1,Hotel do Campo
291,Samarai,PG,76.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
292,Laguna,US,75.09,smoke,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
293,Roald,NO,76.15,clear sky,62.5833,6.1333,Flem Cabins
294,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
299,Vanimo,PG,77.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
300,Odienne,CI,83.21,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
303,Dingle,PH,77.99,light rain,10.9995,122.6711,SEGAYA PROPERTY
304,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
307,Santa Cruz,BO,82.89,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
308,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
309,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
310,Lorengau,PG,80.08,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
311,Beeville,US,83.75,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
313,Sao Filipe,CV,78.49,scattered clouds,14.8961,-24.4956,Hotel Xaguate
314,Kamareddi,IN,79.12,overcast clouds,18.3167,78.35,Osman Residency
