City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Guane,CU,2021-08-06 23:41:39,22.2025,-84.0875,81.82,73,4,1.43
123,Karratha,AU,2021-08-06 23:39:45,-20.7377,116.8463,67.89,29,2,16.96
124,Georgetown,MY,2021-08-06 23:35:10,5.4112,100.3354,80.89,90,20,3.44
125,Storm Lake,US,2021-08-06 23:48:23,42.6411,-95.2097,84.34,89,1,6.91
126,North Bend,US,2021-08-06 23:48:24,43.4065,-124.2243,82.24,86,1,10.36
127,Hasaki,JP,2021-08-06 23:39:25,35.7333,140.8333,86.29,83,59,8.63
128,Okato,NZ,2021-08-06 23:48:24,-39.2,173.8833,53.42,84,62,17.96
129,Kodiak,US,2021-08-06 23:39:49,57.79,-152.4072,56.71,88,90,3.44
130,Qaanaaq,GL,2021-08-06 23:39:36,77.484,-69.3632,44.19,59,1,1.83
131,Panguna,PG,2021-08-06 23:48:25,-6.3164,155.4848,79.39,67,97,1.32
132,Isilkul,RU,2021-08-06 23:48:25,54.9109,71.2728,63.19,95,95,5.79
133,Nikolskoye,RU,2021-08-06 23:39:04,59.7035,30.7861,59.4,94,97,8.86
134,Port Blair,IN,2021-08-06 23:48:25,11.6667,92.75,80.64,89,75,6.91
135,Rorvik,NO,2021-08-06 23:48:26,64.8621,11.2373,59.74,69,55,10.33
136,Dwarka,IN,2021-08-06 23:39:05,22.2394,68.9678,81.19,81,99,13.47
137,Koulamoutou,GA,2021-08-06 23:48:26,-1.1303,12.4736,72.64,91,98,2.17
138,Luderitz,NA,2021-08-06 23:40:07,-26.6481,15.1594,57.69,61,6,4.03
139,Namibe,AO,2021-08-06 23:40:41,-15.1961,12.1522,66.78,89,24,2.77
140,Provideniya,RU,2021-08-06 23:40:49,64.3833,-173.3,49.15,77,100,2.46
141,Saint Anthony,US,2021-08-06 23:45:10,45.0205,-93.218,87.69,44,20,0.0
142,Bubaque,GW,2021-08-06 23:48:27,11.2833,-15.8333,79.93,79,97,21.0
143,Okhotsk,RU,2021-08-06 23:48:27,59.3833,143.3,62.13,51,19,6.91
144,Xichang,CN,2021-08-06 23:48:28,27.8964,102.2634,72.03,78,99,0.98
145,Lufilufi,WS,2021-08-06 23:48:28,-13.8745,-171.5986,87.58,78,67,15.9
