City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Puerto Del Rosario,ES,28.5004,-13.8627,80.28,69,20,16.11,few clouds
140,Aiquile,BO,-18.2041,-65.1807,66.13,36,0,3.56,clear sky
141,Pontianak,ID,-0.0333,109.3333,82.38,89,20,5.75,few clouds
142,Faanui,PF,-16.4833,-151.75,77.85,70,98,9.04,overcast clouds
143,La Romana,DO,18.4273,-68.9728,86.36,70,40,11.5,scattered clouds
144,Soyo,AO,-6.1349,12.3689,76.32,71,100,9.78,overcast clouds
145,Alibunar,RS,45.0808,20.9658,89.06,21,1,4.23,clear sky
146,Perevolotskiy,RU,51.8763,54.1938,83.66,19,7,12.46,clear sky
147,La Paz,BO,-16.5,-68.15,50.31,35,3,2.33,clear sky
148,Aguimes,ES,27.9054,-15.4461,75.83,65,20,31.07,few clouds
149,Hami,CN,42.8,93.45,87.24,16,0,12.84,clear sky
150,Saint-Philippe,RE,-21.3585,55.7679,71.19,74,57,12.8,broken clouds
151,Kruisfontein,ZA,-34.0033,24.7314,66.88,64,100,8.48,overcast clouds
152,Cherskiy,RU,68.75,161.3,51.51,55,100,7.0,overcast clouds
153,Souillac,MU,-20.5167,57.5167,71.37,71,17,12.8,few clouds
154,Pangnirtung,CA,66.1451,-65.7125,40.5,88,100,3.76,overcast clouds
155,North Vanlaiphai,IN,23.1333,93.0667,65.07,99,100,1.95,overcast clouds
156,Talnakh,RU,69.4865,88.3972,69.22,45,83,6.24,broken clouds
157,Meulaboh,ID,4.1363,96.1285,80.22,82,100,5.57,overcast clouds
158,Katsuura,JP,35.1333,140.3,82.51,89,100,12.26,heavy intensity rain
159,Mouzouras,GR,35.5333,24.15,89.6,45,0,11.5,clear sky
160,Vao,NC,-22.6667,167.4833,67.71,60,100,11.23,overcast clouds
161,Saint George,US,37.1041,-113.5841,73.99,18,1,5.75,clear sky
162,Dubbo,AU,-32.25,148.6167,50.13,66,90,8.05,overcast clouds
163,Bay Village,US,41.4848,-81.9221,82.04,69,40,8.05,scattered clouds
164,Sri Aman,MY,1.2376,111.4621,80.65,89,88,0.0,overcast clouds
165,Chancay,PE,-11.5714,-77.2672,61.56,80,87,6.06,overcast clouds
166,Stonewall,CA,50.1344,-97.3268,65.97,44,97,9.06,overcast clouds
167,Anse-Bertrand,GP,16.4721,-61.5078,85.82,73,10,13.71,clear sky
168,Monte Santo De Minas,BR,-21.1897,-46.9803,71.6,39,54,11.32,broken clouds
169,Cayenne,GF,4.9333,-52.3333,87.1,76,90,1.99,overcast clouds
170,Boffa,GN,10.1667,-14.0333,82.78,65,100,7.43,overcast clouds
171,Wattegama,LK,6.7989,81.4808,79.14,79,100,6.38,overcast clouds
172,Valparaiso,CL,-33.0393,-71.6273,52.72,84,90,2.3,mist
173,Nouakchott,MR,18.0858,-15.9785,85.93,78,19,13.98,few clouds
174,Gigmoto,PH,13.7796,124.39,82.76,82,92,6.87,overcast clouds
175,Paamiut,GL,61.994,-49.6678,42.98,87,100,5.97,light rain
176,San Vicente,AR,-26.6167,-54.1333,75.43,38,1,8.05,clear sky
177,Oneida,US,43.2001,-75.4663,82.02,77,1,3.44,clear sky
